corpus_index,feed_id,provider,country,url,download_status,zip_bytes,sha256,analyzer_state,analyzer_exit,analyzer_notices,analyzer_wall_s,analyzer_rss_kb,md_state,md_exit,md_notices,md_groups,md_wall_s,md_rss_kb,md_validation_s
39,jbda-fukauratown-fukaura-town-communitybus,深浦町,JP,https://files.mobilitydatabase.org/jbda-fukauratown-fukaura-town-communitybus/latest.zip,ok,182574,77d749bf1fb9c10824fb4d4e3a6e3d29cf22fd8f4a39a42a21d9fdf4db184a91,completed,1,136,0.02,11820,completed,0,1957,5,2.25,346440,0.451666437
40,jbda-fukuoka-kawasakitown-KawasakiTownFureaiBus,川崎町,JP,https://files.mobilitydatabase.org/jbda-fukuoka-kawasakitown-KawasakiTownFureaiBus/latest.zip,ok,109156,473dbff8b7fc70f5fcd2f90738b852c64e2e6697bacc8be9b56874dd9b018d66,completed,1,93,0.02,10328,completed,0,13455,4,6.72,361808,0.853272463
41,jbda-fukuoka-kogacity-KogaBus,古賀市,JP,https://files.mobilitydatabase.org/jbda-fukuoka-kogacity-KogaBus/latest.zip,ok,28493,d7fd39e91d4528aa30bd0c4e9cc27bcee92cc20aa2c97142729827d64e104d3a,completed,1,102,0.0,8232,completed,0,449,4,5.99,277924,0.522601264
42,jbda-fukuokacity-ImajukuMeinohamaLine,福岡市,JP,https://files.mobilitydatabase.org/jbda-fukuokacity-ImajukuMeinohamaLine/latest.zip,ok,23934,a170c057cb296dd0c1076b9a647c146a2be6f1fe643a1df3fccd069e3c2ef005,completed,1,46,0.0,8056,completed,0,6,3,6.53,314820,0.524189891
43,jbda-fukusakitown-junkai-fukuhime-fukusakikasairenkei,福崎町,JP,https://files.mobilitydatabase.org/jbda-fukusakitown-junkai-fukuhime-fukusakikasairenkei/latest.zip,ok,294233,d3e421b12a352f99f67cbf9b6fa1a23f1098d4ec15854d5dfa78481093109834,completed,1,116,0.03,11376,completed,0,1741,4,4.05,343928,0.559391112
44,jbda-fukutsucity-minibus,福津市,JP,https://files.mobilitydatabase.org/jbda-fukutsucity-minibus/latest.zip,ok,274057,302b4a5b5aca5373cbcbd2c51fd9d3d7ab4b3fe9d2af0e3eecd4b2a144f9143c,completed,1,163,0.05,14780,completed,0,1870,3,6.13,383712,0.885022926
45,jbda-gan-wu-shiokazeline,岩宇地域公共交通活性化協議会,JP,https://files.mobilitydatabase.org/jbda-gan-wu-shiokazeline/latest.zip,ok,50228,587f419331197e8f24b9779369e5ae2b717ee11337f29fadcefa2a443746312a,completed,1,54,0.01,12120,completed,0,1078,4,6.25,280944,0.642846552
46,jbda-geiseivillage-GTFS-Geiseivill_Bus,芸西村,JP,https://files.mobilitydatabase.org/jbda-geiseivillage-GTFS-Geiseivill_Bus/latest.zip,ok,35385,ad47b79ac22e3d83bade29c427bb7bb763eaeb50d67e39550d532e18f4e62642,completed,1,85,0.01,8292,completed,0,358,3,6.53,339380,0.54071323
47,jbda-gerocity-gerobus,下呂市,JP,https://files.mobilitydatabase.org/jbda-gerocity-gerobus/latest.zip,ok,587865,8c306cad39da27331a08e68144868777afa5468ff685975eae532b9d48de3797,completed,1,178,0.1,27164,completed,0,2852,7,3.61,343280,0.972650606
48,jbda-gifu-yamagatacity-communitybus,山県市,JP,https://files.mobilitydatabase.org/jbda-gifu-yamagatacity-communitybus/latest.zip,ok,30531,0f55602b6ed4f93ba769774c51ca0f661c4abb84551daea252c8c9fb9def04b7,completed,1,119,0.02,13404,completed,0,1552,8,2.91,331836,0.493324556
49,jbda-gifucity-communitybus,岐阜市,JP,https://files.mobilitydatabase.org/jbda-gifucity-communitybus/latest.zip,ok,211267,e08c9d02d64edf40b3fb9b61f61aa3712a601c0578ee61d9a66fda443998db8e,completed,1,437,0.06,18380,completed,0,7926,6,3.72,367108,0.868865467
50,jbda-goshogawaracity-goshogawara-communitybus,五所川原市,JP,https://files.mobilitydatabase.org/jbda-goshogawaracity-goshogawara-communitybus/latest.zip,ok,125753,0b7cb4d3c4d74b90e9f380b0c0b0e819e3c5559b844ba7d004401cf519db8503,completed,1,111,0.03,11048,completed,0,481,5,5.42,324812,0.614800271
51,jbda-gujocity-citybus,郡上市,JP,https://files.mobilitydatabase.org/jbda-gujocity-citybus/latest.zip,ok,55381,35d3530d46661af55e0ab81835bbaddb1fa2ee3097b9c536173695b0c2c83882,completed,1,375,0.02,14292,completed,0,4343,7,6.5,341736,0.688742922
52,jbda-gunma-otacity-ootacitybus,太田市,JP,https://files.mobilitydatabase.org/jbda-gunma-otacity-ootacitybus/latest.zip,ok,29147,f81ad7dd299c47fc9dad3b6c97ecf8e5848d19a38b427861e353049c60e58902,completed,1,162,0.01,9220,completed,0,1945,5,7.13,348588,0.632535313
